iter	Logloss
0	0.6756406306
1	0.6640724508
2	0.6507994743
3	0.6414787589
4	0.6327873562
5	0.6256932201
6	0.6172857982
7	0.6118013969
8	0.606995906
9	0.6021683338
10	0.5984140837
11	0.5945549363
12	0.5901975004
13	0.5871130657
14	0.5841825873
15	0.5817074735
16	0.579430629
17	0.5766194964
18	0.5746496722
19	0.5730884867
20	0.5711567676
21	0.5696053538
22	0.5671537917
23	0.5654840423
24	0.5634663087
25	0.5617439383
26	0.5604003767
27	0.5587998503
28	0.5575804181
29	0.5567118728
30	0.5556522159
31	0.5548689947
32	0.554194774
33	0.5533446569
34	0.5526995501
35	0.5516282093
36	0.5509522535
37	0.5503834702
38	0.5496284569
39	0.5486624633
40	0.5481392971
41	0.5471322109
42	0.5466959804
43	0.5460969397
44	0.5455160274
45	0.5451097343
46	0.5447650747
47	0.5443813049
48	0.5439578351
49	0.5435216136
50	0.5431654483
51	0.5427134001
52	0.5423779659
53	0.5419186795
54	0.5416601679
55	0.5412139272
56	0.540768637
57	0.5404353011
58	0.5400675989
59	0.5398118409
60	0.5391977855
61	0.5388788816
62	0.5386279433
63	0.5382972002
64	0.5380503414
65	0.5375928213
66	0.5373147963
67	0.536995602
68	0.5359006348
69	0.5351545996
70	0.5348412725
71	0.534499624
72	0.5342748477
73	0.5341117859
74	0.5335907663
75	0.5333072138
76	0.5329965502
77	0.5328137528
78	0.5326354507
79	0.5323300308
80	0.5316271037
81	0.5315000515
82	0.5313011571
83	0.5310678765
84	0.5308208444
85	0.5306446797
86	0.5303100266
87	0.5301052274
88	0.5298694293
89	0.5296912624
90	0.5294753681
91	0.5290920822
92	0.5289081438
93	0.5282471992
94	0.5280701477
95	0.5278017514
96	0.5275046917
97	0.5271913307
98	0.5269670416
99	0.5267439522
100	0.5265768546
101	0.5264102322
102	0.5262446525
103	0.5259812583
104	0.5257621839
105	0.5254628288
106	0.5253735191
107	0.5250887123
108	0.5249784926
109	0.524859814
110	0.5243586714
111	0.524201728
112	0.5239236659
113	0.5237879264
114	0.5236101419
115	0.52349141
116	0.5233913143
117	0.5232263037
118	0.5230105361
119	0.5228539821
120	0.5227176222
121	0.522548873
122	0.5223829026
123	0.5219541837
124	0.5218136898
125	0.5215698038
126	0.5214343838
127	0.5212672088
128	0.5211097904
129	0.5210371047
130	0.5208374787
131	0.5206353657
132	0.5204841704
133	0.5202382309
134	0.5200636367
135	0.5197399065
136	0.5195836888
137	0.5194443776
138	0.5193536681
139	0.5191507815
140	0.5190133199
141	0.5189086121
142	0.5185401077
143	0.5183941284
144	0.518233704
145	0.5179259894
146	0.5176342406
147	0.5174315644
148	0.5173155471
149	0.5170083437
150	0.5167929882
151	0.5166942936
152	0.5164758775
153	0.5163976477
154	0.5160750928
155	0.5158266999
156	0.5156286013
157	0.5154427508
158	0.5153599429
159	0.5152126953
160	0.5148748747
161	0.5147524279
162	0.5146867791
163	0.5144719847
164	0.5143738823
165	0.5141981051
166	0.5138776668
167	0.513768492
168	0.51349343
169	0.513221441
170	0.5130809688
171	0.5129484934
172	0.5127999082
173	0.5126318962
174	0.5124293066
175	0.5122693414
176	0.512126472
177	0.5118728464
178	0.5114818479
179	0.5113156115
180	0.511234621
181	0.5111436242
182	0.5109821256
183	0.5108684738
184	0.5107023707
185	0.5106081009
186	0.5104901645
187	0.5102651245
188	0.5100992057
189	0.5099266414
190	0.5097878442
191	0.5096857043
192	0.5095795042
193	0.5094820916
194	0.5092551268
195	0.5091431677
196	0.5089421668
197	0.5087609913
198	0.5082516266
199	0.5080762556
200	0.5079230217
201	0.5077902888
202	0.5075562032
203	0.5074573088
204	0.5072558218
205	0.5071050714
206	0.5070154158
207	0.5068922641
208	0.5067245855
209	0.5065836252
210	0.5064552644
211	0.5062733394
212	0.5059535464
213	0.5058751665
214	0.5057419446
215	0.5056326114
216	0.5054337777
217	0.5053061744
218	0.5051234873
219	0.5049404564
220	0.5047501807
221	0.5046284136
222	0.5045323743
223	0.5043467818
224	0.5041998779
225	0.5040401891
226	0.5039375882
227	0.5037635034
228	0.5034550542
229	0.5033595901
230	0.5031714919
231	0.5030812343
232	0.5028373112
233	0.5026808866
234	0.502463046
235	0.5022846783
236	0.5020268467
237	0.5018814057
238	0.5017770965
239	0.5016474441
240	0.501493107
241	0.5012231941
242	0.501002796
243	0.5008375794
244	0.5006533936
245	0.5004773531
246	0.5003360945
247	0.5001759981
248	0.5000069356
249	0.4998894479
250	0.4996876173
251	0.4995252806
252	0.4994225736
253	0.4991974014
254	0.4990676983
255	0.498913366
256	0.4988024524
257	0.4985564734
258	0.4984259289
259	0.4982841189
260	0.498178812
261	0.497982352
262	0.4977953793
263	0.4976184289
264	0.4975065533
265	0.4973465161
266	0.4969330802
267	0.4966945946
268	0.4965650083
269	0.4964207027
270	0.4963076326
271	0.4961201001
272	0.4959709962
273	0.4958350061
274	0.4957054627
275	0.4955948964
276	0.4952655974
277	0.4951576055
278	0.4950378745
279	0.4948761348
280	0.4947510053
281	0.4946116289
282	0.4944074317
283	0.494187862
284	0.4940469095
285	0.4939232312
286	0.4938013363
287	0.4936357544
288	0.4934974798
289	0.4934173313
290	0.4932592905
291	0.4930768112
292	0.4929299825
293	0.4927877313
294	0.4925598408
295	0.4924379383
296	0.4922670204
297	0.4921582803
298	0.4920236468
299	0.4919186973
300	0.4918030468
301	0.4916567527
302	0.4915362366
303	0.4914166955
304	0.4912765752
305	0.4911789296
306	0.4910410191
307	0.4909231697
308	0.4908062623
309	0.4906663496
310	0.4905574269
311	0.4904036384
312	0.4902497684
313	0.490160753
314	0.4900915579
315	0.4899730316
316	0.4898101501
317	0.4896953745
318	0.4895963099
319	0.4894916788
320	0.4893583943
321	0.4892585197
322	0.4891467891
323	0.4890083065
324	0.4888557803
325	0.4887457946
326	0.4885964071
327	0.4884532511
328	0.4883276493
329	0.4882043791
330	0.4880536104
331	0.4877725137
332	0.4876597391
333	0.4875561643
334	0.4874187881
335	0.4873147924
336	0.4871861296
337	0.4870800169
338	0.4869780025
339	0.4868967075
340	0.4867831893
341	0.4867277489
342	0.4866406263
343	0.4864946586
344	0.4863854108
345	0.4862774924
346	0.4860783326
347	0.4858591061
348	0.4857616002
349	0.4856346391
350	0.4855327782
351	0.4854386608
352	0.4853313504
353	0.4852424358
354	0.4850768584
355	0.4849680495
356	0.4848347238
357	0.4847200002
358	0.484598925
359	0.484487688
360	0.4843365589
361	0.4841851176
362	0.4839580649
363	0.4838815021
364	0.4837481612
365	0.4836307823
366	0.4835597652
367	0.4834483595
368	0.483330769
369	0.4831240073
370	0.4829834781
371	0.4828862221
372	0.4827376638
373	0.4825623055
374	0.4824169554
375	0.4823270705
376	0.4822561417
377	0.4820696986
378	0.4819894545
379	0.4818280908
380	0.4817304374
381	0.4816102419
382	0.4815336841
383	0.4814411188
384	0.4813770239
385	0.4812970922
386	0.4812042988
387	0.4811281791
388	0.4810010308
389	0.4809047816
390	0.4808154424
391	0.4806834141
392	0.4805670767
393	0.4804770627
394	0.4803810051
395	0.4802440596
396	0.4801294556
397	0.4800480194
398	0.4799378878
399	0.4798526837
400	0.4797350361
401	0.4796288085
402	0.4794924408
403	0.4793943533
404	0.4792524283
405	0.4791571
406	0.4790348504
407	0.478922213
408	0.4786966177
409	0.4786015022
410	0.4785117014
411	0.4784089856
412	0.4783121256
413	0.4781603676
414	0.4780499995
415	0.4779795938
416	0.4778997664
417	0.4777908984
418	0.477701942
419	0.4775795309
420	0.4774947025
421	0.4773768779
422	0.4772790795
423	0.4771952929
424	0.4771043147
425	0.476979136
426	0.4769276877
427	0.4768571394
428	0.4766667514
429	0.4765835832
430	0.4764534739
431	0.4763153134
432	0.4762336135
433	0.4761693357
434	0.4760806475
435	0.4759833806
436	0.4759081594
437	0.4758101087
438	0.4757353471
439	0.4756638467
440	0.4755990935
441	0.47542323
442	0.4753355589
443	0.4752603391
444	0.4751461699
445	0.4750547431
446	0.4749409155
447	0.4749043558
448	0.4748192609
449	0.4747040747
450	0.4746371238
451	0.4745683228
452	0.4744241705
453	0.474342864
454	0.4742774449
455	0.4741849184
456	0.4741061923
457	0.4739715231
458	0.4739075283
459	0.4738219728
460	0.4737527412
461	0.4736749834
462	0.4735850569
463	0.4734818259
464	0.4733829757
465	0.4733082763
466	0.4732252181
467	0.4731408564
468	0.4730012501
469	0.4729316933
470	0.4728609477
471	0.4727674648
472	0.4726604824
473	0.472607109
474	0.4725262836
475	0.4724057769
476	0.4723136474
477	0.472234429
478	0.4721726778
479	0.4720818241
480	0.4719541236
481	0.4718719215
482	0.4717599502
483	0.4717087172
484	0.4716105924
485	0.471489505
486	0.4713544994
487	0.4712704779
488	0.4712082273
489	0.4711102188
490	0.4710422955
491	0.4709332316
492	0.4708190861
493	0.4707251322
494	0.4706077308
495	0.4704996353
496	0.4703997216
497	0.470266484
498	0.4701201352
499	0.47003315
500	0.4699568121
501	0.4698549111
502	0.4697034916
503	0.4696166893
504	0.4694993029
505	0.4694450091
506	0.4692978789
507	0.4691964031
508	0.4691127326
509	0.469009793
510	0.4688982136
511	0.4687831919
512	0.4686988137
513	0.4686069307
514	0.468520629
515	0.4684346371
516	0.468360555
517	0.4682720436
518	0.4681955012
519	0.4681228359
520	0.4680249606
521	0.4679347844
522	0.4678464609
523	0.4677720619
524	0.4676946346
525	0.4676056072
526	0.4675402998
527	0.4674700578
528	0.4673666397
529	0.4672796893
530	0.4671981356
531	0.4670967912
532	0.4670119204
533	0.4669050064
534	0.4668236874
535	0.4667307419
536	0.4666493803
537	0.4665830848
538	0.4665032458
539	0.4664539598
540	0.4663433773
541	0.4662417241
542	0.4661766571
543	0.4660918908
544	0.4659509978
545	0.4658608318
546	0.4657685002
547	0.4656769007
548	0.4655360455
549	0.4654742951
550	0.4653783976
551	0.4652361313
552	0.4651667469
553	0.4650639619
554	0.4649309595
555	0.4648385859
556	0.4647909471
557	0.4647113753
558	0.4646863856
559	0.4645895596
560	0.4645198674
561	0.4644371642
562	0.46435687
563	0.4643036271
564	0.4642134355
565	0.4641425346
566	0.4640607906
567	0.4639887672
568	0.4639030155
569	0.4638138174
570	0.4637161367
571	0.4636305277
572	0.4635529531
573	0.463460914
574	0.4633695805
575	0.4632634965
576	0.4631687206
577	0.4630867092
578	0.4630093663
579	0.462889932
580	0.462798787
581	0.4626805511
582	0.4626041092
583	0.462498149
584	0.462406291
585	0.4623125816
586	0.4622458909
587	0.4621746546
588	0.4620914753
589	0.4620267102
590	0.4619545314
591	0.4618540574
592	0.461783825
593	0.461669985
594	0.461542136
595	0.4614780829
596	0.4614010095
597	0.4613248632
598	0.4612415289
599	0.4612144805
600	0.4611293535
601	0.4610518158
602	0.4609701518
603	0.460863999
604	0.4607693874
605	0.4606320533
606	0.460557929
607	0.4604918982
608	0.4604103928
609	0.4603085464
610	0.4602323791
611	0.4601059519
612	0.459999507
613	0.4598993612
614	0.4598052742
615	0.45974882
616	0.4596465456
617	0.4595726588
618	0.4595098386
619	0.4594476976
620	0.4593462123
621	0.4592619442
622	0.4591612823
623	0.4590750378
624	0.4589994483
625	0.4589049628
626	0.4588451838
627	0.4587565856
628	0.4586787679
629	0.4585988482
630	0.4585424136
631	0.4584644826
632	0.4583764702
633	0.4583152893
634	0.4582431803
635	0.4581370787
636	0.4580834052
637	0.4580038946
638	0.4578985893
639	0.4577953943
640	0.4576853055
641	0.4576048679
642	0.4575297894
643	0.4574358216
644	0.4573777441
645	0.4572905093
646	0.4572153631
647	0.4571488494
648	0.457061258
649	0.4569882446
650	0.4569355204
651	0.456840936
652	0.4567908496
653	0.4567266666
654	0.4566508144
655	0.4565388268
656	0.4564187755
657	0.4563276738
658	0.456275946
659	0.456166786
660	0.4560790306
661	0.4560061284
662	0.4559441288
663	0.4558596743
664	0.455772249
665	0.4556767759
666	0.4556406422
667	0.455534652
668	0.4554255895
669	0.4553607365
670	0.4552674252
671	0.4551650135
672	0.455044829
673	0.4549673038
674	0.4548951604
675	0.4547865956
676	0.4547345544
677	0.4546762729
678	0.4546082037
679	0.4545005551
680	0.4544535703
681	0.4543847738
682	0.454285762
683	0.4542207829
684	0.4541306663
685	0.454074899
686	0.453981162
687	0.4538795396
688	0.4538175983
689	0.4537333472
690	0.4536229435
691	0.4535568032
692	0.4534693361
693	0.45333878
694	0.4532600904
695	0.4531974627
696	0.453111835
697	0.4530215607
698	0.4529486097
699	0.4528261549
700	0.4527400707
701	0.4526636247
702	0.4525761872
703	0.4524921054
704	0.4524061198
705	0.4523477871
706	0.4522832056
707	0.4522428004
708	0.4521695867
709	0.4520937071
710	0.4520207478
711	0.4519638717
712	0.4518893366
713	0.451814974
714	0.4517390294
715	0.4516436663
716	0.4515717783
717	0.4514990033
718	0.4514197619
719	0.4513405162
720	0.451280023
721	0.4512032758
722	0.4511414114
723	0.4510471812
724	0.4509773779
725	0.4509118586
726	0.4508152074
727	0.450752685
728	0.4506491205
729	0.4505626729
730	0.450509044
731	0.4504715632
732	0.4503959005
733	0.4502945984
734	0.4502090723
735	0.450142192
736	0.4500758323
737	0.4500124875
738	0.4499453899
739	0.4498806038
740	0.449820033
741	0.4497684451
742	0.4496856389
743	0.4496382128
744	0.449579528
745	0.4495047811
746	0.4494312908
747	0.449350361
748	0.4492827831
749	0.449205899
750	0.4491112229
751	0.4490621942
752	0.4489183825
753	0.4488691758
754	0.4488280884
755	0.4487225476
756	0.4486633778
757	0.4486118283
758	0.4485195175
759	0.448422137
760	0.4483254411
761	0.4482498752
762	0.4481892714
763	0.4481359627
764	0.4480899996
765	0.4480191859
766	0.4479641719
767	0.4478980196
768	0.4478214317
769	0.4477286727
770	0.4476637011
771	0.4476115059
772	0.4475003828
773	0.4474575035
774	0.4474100405
775	0.4473433124
776	0.4472595402
777	0.44718772
778	0.4471265711
779	0.4470421036
780	0.4469939951
781	0.4469220949
782	0.4468815674
783	0.4468044783
784	0.4467343806
785	0.4466451248
786	0.4465685278
787	0.4465136554
788	0.4464461575
789	0.4463740277
790	0.4463280467
791	0.44627734
792	0.4462119978
793	0.4461336541
794	0.4460539285
795	0.446012938
796	0.4459156267
797	0.4458646181
798	0.4457941334
799	0.4457272024
800	0.445643418
801	0.4455923359
802	0.4455239167
803	0.4454328796
804	0.4453886891
805	0.4453327443
806	0.4452863152
807	0.4451689452
808	0.4450621659
809	0.4449919382
810	0.4449136036
811	0.4448595984
812	0.4447718783
813	0.4447146591
814	0.4446644209
815	0.4445582936
816	0.4445234974
817	0.4444591588
818	0.4443838519
