iter	Passed	Remaining
0	205	204814
1	244	122033
2	281	93710
3	320	79771
4	347	69169
5	365	60502
6	380	54036
7	396	49218
8	412	45450
9	429	42527
10	444	39975
11	460	37927
12	478	36328
13	502	35382
14	522	34325
15	545	33522
16	564	32621
17	587	32071
18	607	31389
19	627	30752
20	648	30234
21	668	29713
22	689	29306
23	708	28809
24	728	28424
25	747	27988
26	765	27591
27	785	27274
28	804	26935
29	824	26667
30	843	26374
31	865	26167
32	883	25877
33	905	25737
34	924	25478
35	947	25371
36	966	25145
37	989	25049
38	1008	24844
39	1025	24623
40	1049	24540
41	1067	24354
42	1086	24188
43	1103	23969
44	1118	23745
45	1133	23512
46	1148	23292
47	1164	23086
48	1178	22881
49	1194	22697
50	1210	22522
51	1225	22349
52	1240	22167
53	1256	22005
54	1271	21844
55	1286	21688
56	1301	21537
57	1316	21385
58	1331	21241
59	1346	21096
60	1361	20963
61	1377	20832
62	1392	20705
63	1408	20595
64	1423	20477
65	1436	20334
66	1452	20228
67	1467	20111
68	1482	20005
69	1497	19899
70	1514	19810
71	1533	19764
72	1549	19680
73	1569	19640
74	1584	19546
75	1600	19455
76	1615	19370
77	1630	19275
78	1645	19186
79	1660	19099
80	1675	19011
81	1690	18929
82	1706	18848
83	1721	18772
84	1737	18702
85	1752	18626
86	1768	18558
87	1784	18489
88	1799	18417
89	1816	18363
90	1831	18298
91	1847	18231
92	1862	18165
93	1878	18107
94	1894	18047
95	1909	17980
96	1924	17920
97	1940	17858
98	1956	17803
99	1971	17746
100	1987	17691
101	2002	17631
102	2018	17582
103	2034	17529
104	2049	17472
105	2064	17408
106	2079	17352
107	2094	17301
108	2109	17243
109	2124	17186
110	2137	17118
111	2153	17071
112	2168	17023
113	2185	16983
114	2200	16935
115	2217	16898
116	2231	16841
117	2246	16791
118	2262	16748
119	2277	16703
120	2292	16656
121	2308	16611
122	2323	16567
123	2340	16533
124	2355	16486
125	2370	16444
126	2385	16401
127	2401	16361
128	2417	16321
129	2432	16278
130	2447	16236
131	2463	16200
132	2480	16167
133	2496	16131
134	2511	16094
135	2527	16059
136	2543	16023
137	2559	15986
138	2574	15945
139	2590	15910
140	2605	15871
141	2621	15837
142	2636	15801
143	2652	15765
144	2668	15733
145	2683	15697
146	2699	15663
147	2715	15629
148	2730	15595
149	2746	15562
150	2762	15531
151	2777	15496
152	2793	15462
153	2808	15429
154	2824	15396
155	2840	15366
156	2855	15331
157	2870	15298
158	2885	15260
159	2900	15227
160	2916	15200
161	2931	15165
162	2946	15128
163	2960	15093
164	2975	15058
165	2991	15027
166	3006	14998
167	3023	14972
168	3036	14930
169	3052	14901
170	3066	14867
171	3081	14835
172	3097	14809
173	3113	14780
174	3128	14748
175	3143	14719
176	3159	14690
177	3174	14659
178	3189	14629
179	3204	14599
180	3219	14566
181	3234	14536
182	3304	14754
183	3320	14725
184	3335	14695
185	3350	14664
186	3366	14635
187	3382	14608
188	3398	14582
189	3413	14554
190	3429	14525
191	3445	14497
192	3461	14472
193	3478	14449
194	3494	14425
195	3510	14401
196	3526	14373
197	3541	14345
198	3558	14324
199	3576	14305
200	3593	14286
201	3608	14256
202	3623	14226
203	3638	14197
204	3653	14169
205	3669	14142
206	3685	14117
207	3700	14090
208	3715	14063
209	3730	14035
210	3745	14007
211	3761	13981
212	3776	13954
213	3791	13925
214	3806	13897
215	3821	13870
216	3836	13842
217	3851	13815
218	3866	13788
219	3881	13761
220	3896	13734
221	3911	13707
222	3925	13679
223	3941	13653
224	3956	13627
225	3971	13602
226	3988	13582
227	4004	13558
228	4020	13535
229	4035	13510
230	4050	13485
231	4066	13460
232	4081	13434
233	4096	13410
234	4112	13387
235	4127	13362
236	4143	13340
237	4158	13314
238	4173	13288
239	4188	13263
240	4203	13238
241	4219	13216
242	4235	13193
243	4250	13171
244	4266	13147
245	4282	13124
246	4296	13099
247	4313	13078
248	4328	13055
249	4343	13030
250	4358	13006
251	4373	12982
252	4388	12958
253	4401	12926
254	4416	12902
255	4430	12877
256	4445	12851
257	4458	12821
258	4473	12798
259	4488	12775
260	4503	12751
261	4520	12734
262	4533	12704
263	4547	12678
264	4562	12654
265	4577	12631
266	4592	12608
267	4607	12585
268	4622	12562
269	4637	12539
270	4653	12517
271	4668	12493
272	4683	12471
273	4698	12448
274	4713	12425
275	4728	12403
276	4743	12380
277	4758	12358
278	4773	12336
279	4788	12314
280	4804	12292
281	4819	12270
282	4831	12241
283	4847	12221
284	4863	12200
285	4878	12180
286	4894	12158
287	4908	12135
288	4923	12113
289	4939	12092
290	4954	12071
291	4970	12051
292	4986	12032
293	5001	12009
294	5016	11988
295	5031	11966
296	5046	11944
297	5061	11924
298	5076	11902
299	5092	11882
300	5107	11860
301	5122	11838
302	5137	11817
303	5152	11795
304	5167	11775
305	5182	11753
306	5197	11732
307	5212	11712
308	5231	11698
309	5246	11677
310	5261	11655
311	5279	11642
312	5294	11621
313	5309	11600
314	5324	11579
315	5339	11558
316	5354	11536
317	5369	11515
318	5384	11495
319	5402	11479
320	5418	11460
321	5435	11445
322	5451	11425
323	5466	11405
324	5482	11385
325	5497	11364
326	5508	11337
327	5523	11316
328	5538	11296
329	5553	11275
330	5569	11255
331	5583	11234
332	5598	11214
333	5613	11193
334	5629	11174
335	5644	11154
336	5659	11134
337	5674	11114
338	5689	11093
339	5703	11072
340	5718	11051
341	5733	11030
342	5748	11010
343	5763	10990
344	5778	10970
345	5792	10949
346	5808	10930
347	5824	10911
348	5839	10892
349	5854	10873
350	5869	10853
351	5884	10832
352	5899	10812
353	5913	10792
354	5929	10772
355	5944	10753
356	5959	10733
357	5973	10712
358	5989	10694
359	6004	10674
360	6019	10655
361	6034	10636
362	6049	10616
363	6065	10597
364	6080	10578
365	6095	10558
366	6110	10538
367	6124	10518
368	6140	10500
369	6155	10480
370	6171	10462
371	6186	10444
372	6202	10425
373	6217	10406
374	6233	10388
375	6247	10368
376	6262	10348
377	6277	10329
378	6292	10310
379	6307	10291
380	6322	10271
381	6337	10252
382	6351	10232
383	6366	10212
384	6381	10193
385	6396	10174
386	6412	10156
387	6426	10136
388	6441	10117
389	6456	10098
390	6471	10079
391	6486	10061
392	6502	10042
393	6518	10026
394	6535	10009
395	6551	9993
396	6566	9974
397	6581	9955
398	6596	9936
399	6611	9916
400	6626	9898
401	6641	9879
402	6656	9860
403	6671	9842
404	6686	9823
405	6700	9803
406	6718	9789
407	6733	9770
408	6749	9752
409	6764	9734
410	6779	9715
411	6794	9696
412	6809	9677
413	6823	9658
414	6839	9641
415	6854	9623
416	6869	9604
417	6885	9587
418	6900	9568
419	6916	9551
420	6932	9533
421	6947	9516
422	6963	9498
423	6978	9480
424	6994	9463
425	7009	9445
426	7024	9426
427	7039	9407
428	7053	9387
429	7068	9369
430	7083	9351
431	7098	9333
432	7113	9315
433	7128	9296
434	7143	9278
435	7158	9260
436	7173	9242
437	7188	9224
438	7204	9206
439	7220	9189
440	7234	9170
441	7250	9153
442	7266	9136
443	7285	9123
444	7300	9105
445	7315	9087
446	7330	9069
447	7346	9051
448	7362	9034
449	7378	9018
450	7393	9000
451	7408	8982
452	7424	8965
453	7439	8947
454	7454	8929
455	7469	8911
456	7485	8894
457	7502	8878
458	7517	8860
459	7532	8842
460	7547	8824
461	7562	8806
462	7578	8789
463	7594	8772
464	7610	8755
465	7625	8738
466	7641	8720
467	7655	8702
468	7671	8685
469	7686	8667
470	7701	8649
471	7717	8632
472	7732	8615
473	7748	8598
474	7764	8582
475	7780	8564
476	7795	8547
477	7812	8531
478	7827	8513
479	7842	8496
480	7859	8480
481	7875	8463
482	7891	8447
483	7906	8429
484	7922	8412
485	7938	8395
486	7953	8378
487	7968	8360
488	7983	8342
489	7998	8324
490	8012	8306
491	8028	8289
492	8042	8271
493	8057	8253
494	8072	8235
495	8089	8219
496	8105	8202
497	8120	8186
498	8137	8170
499	8152	8152
500	8167	8134
501	8183	8118
502	8198	8100
503	8213	8082
504	8228	8065
505	8243	8048
506	8258	8030
507	8273	8013
508	8288	7995
509	8303	7977
510	8318	7960
511	8334	7943
512	8350	7927
513	8365	7910
514	8380	7892
515	8395	7875
516	8410	7857
517	8425	7839
518	8440	7822
519	8455	7805
520	8492	7808
521	8529	7810
522	8564	7811
523	8598	7811
524	8633	7811
525	8665	7808
526	8682	7793
527	8697	7775
528	8713	7758
529	8728	7740
530	8742	7722
531	8758	7704
532	8772	7686
533	8788	7669
534	8803	7652
535	8818	7634
536	8833	7616
537	8848	7598
